Passagem 1: todas as impressoes em normal
Modo: all | tamanho: normal | concorrencia: 4
Leitura em streaming: ativa (sem fetchAll e sem carregar JSON bruto).

[116] baixada  Munitions Enthusiast | 1.01 MB/s
[117] baixada  Open Communications | 1.01 MB/s
[118] baixada  Operations Officer | 1.00 MB/s
[119] baixada  Organic Avulsion Unit | 1.01 MB/s
[120] baixada  Overgrown Tomb | 1.01 MB/s
[121] baixada  Overgrown Tomb | 1.01 MB/s
[122] baixada  Overgrown Tomb | 1.00 MB/s
[123] baixada  Pelia, Immortal Innovator | 1.01 MB/s
[124] baixada  Perils of the Past | 1.01 MB/s
[125] baixada  Picard, Leading by Example | 1.01 MB/s
[126] baixada  Plains | 1.01 MB/s
[127] baixada  Picard, Steadfast Captain | 1.01 MB/s
[128] baixada  Plains | 1.01 MB/s
[129] baixada  Planetary Patrol | 1.00 MB/s
[130] baixada  Plasma Cascade | 1.01 MB/s
[131] baixada  Preordain | 1.01 MB/s
[132] baixada  Reckless Impulse | 1.01 MB/s
[133] baixada  Refute | 1.01 MB/s
[134] baixada  Relentless Drednok | 1.01 MB/s
[135] baixada  Resistance Is Futile | 1.00 MB/s
[136] baixada  Rogue Artificial Intelligence | 1.01 MB/s
[137] baixada  Run Amok | 1.01 MB/s
[138] baixada  Saavik, Stoic Student | 1.01 MB/s
[139] baixada  Sacred Foundry | 1.01 MB/s
[140] baixada  Sacred Foundry | 1.01 MB/s
[141] baixada  Sacred Foundry | 1.01 MB/s
[142] baixada  Salt Vampire | 1.01 MB/s
[143] baixada  Salt Vampire | 1.01 MB/s
[144] baixada  Salt Vampire | 1.02 MB/s
[145] baixada  Saurian Explorer | 1.01 MB/s
[146] baixada  Set Phasers to . . . | 1.02 MB/s
[147] baixada  Seven of Nine | 1.01 MB/s
[148] baixada  Seven of Nine | 1.02 MB/s
[149] baixada  Sheoldred, the Apocalypse | 1.01 MB/s
[150] baixada  Shields Up! | 1.02 MB/s
[151] baixada  Shuttle Ace | 1.01 MB/s
[152] baixada  Shuttle Crew | 1.02 MB/s
[153] baixada  Sickbay Orderly | 1.02 MB/s
[154] baixada  Silicate Surveyor | 1.02 MB/s
[155] baixada  Spock, Logical Choice | 1.02 MB/s
[156] baixada  Starfleet Crew | 1.02 MB/s
[157] baixada  Steam Vents | 1.02 MB/s
[158] baixada  Steam Vents | 1.02 MB/s
[159] baixada  Steam Vents | 1.02 MB/s
[160] baixada  Stomping Ground | 1.02 MB/s
[161] baixada  Stomping Ground | 1.02 MB/s
[162] baixada  Stomping Ground | 1.02 MB/s
[163] baixada  Swamp | 1.03 MB/s
[164] baixada  Support Mission | 1.02 MB/s
[165] baixada  Swamp | 1.03 MB/s
[166] baixada  Syndicate Liquidators | 1.02 MB/s
[167] baixada  T'Pol, Vulcan Representative | 1.02 MB/s
[168] baixada  Tactical Officer | 1.03 MB/s
[169] baixada  Talarian Hook Spider | 1.03 MB/s
[170] baixada  Temple Garden | 1.03 MB/s
[171] baixada  Temple Garden | 1.02 MB/s
[172] baixada  Temple Garden | 1.03 MB/s
[173] baixada  Tenacious Tosk | 1.03 MB/s
[174] baixada  The City on the Edge of Forever | 1.02 MB/s
[175] baixada  Trelane, Squire of Gothos | 1.03 MB/s
[176] baixada  U.S.S. Enterprise-D, Galaxy-Class | 1.03 MB/s
[177] baixada  U.S.S. Enterprise-D, Galaxy-Class | 1.03 MB/s
[178] baixada  U.S.S. Enterprise-D, Galaxy-Class | 1.02 MB/s
[179] baixada  V'Ger, the Intruder | 1.03 MB/s
[180] baixada  Warship Flight Crew | 1.03 MB/s
[181] baixada  Watery Grave | 1.03 MB/s
[182] baixada  Watery Grave | 1.03 MB/s
[183] baixada  Watery Grave | 1.03 MB/s
[184] baixada  Will Riker, Assuming Command | 1.03 MB/s
[185] baixada  Worf, Chief Tactical Officer | 1.03 MB/s
[186] baixada  Xenobotanist | 1.03 MB/s
[187] baixada  Changeling Outcast | 1.03 MB/s
[188] baixada  Xindi Surveyors | 1.04 MB/s
[189] baixada  Grazilaxx, Illithid Scholar | 1.04 MB/s
[190] baixada  Guardian of Faith | 1.04 MB/s
[191] baixada  Karazikar, the Eye Tyrant | 1.03 MB/s
[192] baixada  Share the Spoils | 1.03 MB/s
[193] baixada  Gwenna, Eyes of Gaea | 1.04 MB/s
[194] baixada  The Reality Chip | 1.03 MB/s
[195] baixada  Tivit, Seller of Secrets | 1.04 MB/s
[196] baixada  A Killer Among Us | 1.03 MB/s
[197] baixada  Aboleth Spawn | 1.04 MB/s
[198] baixada  Accursed Marauder | 1.04 MB/s
[199] baixada  Adeline, Resplendent Cathar | 1.04 MB/s
[200] baixada  Afterlife Insurance | 1.04 MB/s
[201] baixada  Agate Instigator | 1.04 MB/s
[202] baixada  Akroma's Will | 1.04 MB/s
[203] baixada  Akroma, Vision of Ixidor | 1.04 MB/s
[204] baixada  Alirios, Enraptured | 1.04 MB/s
[205] baixada  Anara, Wolvid Familiar | 1.05 MB/s
[206] baixada  Angel of Indemnity | 1.05 MB/s
[207] baixada  Angel of the Ruins | 1.05 MB/s
[208] baixada  Anim Pakal, Thousandth Moon | 1.05 MB/s
[209] baixada  Annoyed Altisaur | 1.05 MB/s
[210] baixada  Anzrag, the Quake-Mole | 1.05 MB/s
[211] baixada  Apprentice Wizard | 1.06 MB/s
[212] baixada  Arabella, Abandoned Doll | 1.06 MB/s
[213] baixada  Araumi of the Dead Tide | 1.06 MB/s
[214] baixada  Archetype of Courage | 1.06 MB/s
[215] baixada  Ardenn, Intrepid Archaeologist | 1.06 MB/s
[216] baixada  Armed // Dangerous | 1.06 MB/s
[217] baixada  Armix, Filigree Thrasher | 1.07 MB/s
[218] baixada  Arms Dealer | 1.07 MB/s
[219] baixada  Artistic Process | 1.07 MB/s
[220] baixada  Arzakon | 1.07 MB/s
[221] baixada  Ashaya's Enduring Bond | 1.07 MB/s
[222] baixada  Ashaya, Soul of the Wild | 1.07 MB/s
[223] baixada  Ashling, Flame Dancer | 1.07 MB/s
[224] baixada  Autumn Willow, Harmony | 1.07 MB/s
[225] baixada  Avatar of Growth | 1.07 MB/s
[226] baixada  Azure Fleet Admiral | 1.07 MB/s
[227] baixada  Baba Lysaga, Night Witch | 1.07 MB/s
[228] baixada  Baeloth Barrityl, Entertainer | 1.08 MB/s
[229] baixada  Baldin, Century Herdmaster | 1.07 MB/s
[230] baixada  Balefang the Unslayable | 1.08 MB/s
[231] baixada  Baleful Strix | 1.08 MB/s
[232] baixada  Balmor, Battlemage Captain | 1.08 MB/s
[233] baixada  Bane's Invoker | 1.08 MB/s
[234] baixada  Banshee of the Dread Choir | 1.08 MB/s
[235] baixada  Barrowgoyf | 1.08 MB/s
[236] baixada  Basking Broodscale | 1.09 MB/s
[237] baixada  Battle Angels of Tyr | 1.08 MB/s
[238] baixada  Batwing Brume | 1.09 MB/s
[239] baixada  Beanstalk Giant // Fertile Footsteps | 1.09 MB/s
[240] baixada  Beetleback Chief | 1.09 MB/s
[241] baixada  Behold the Multiverse | 1.09 MB/s
[242] baixada  Benevolent Blessing | 1.09 MB/s
[243] baixada  Bhaal's Invoker | 1.09 MB/s
[244] baixada  Binding the Old Gods | 1.09 MB/s
[245] baixada  Biogenic Upgrade | 1.09 MB/s
[246] baixada  Biomechan Engineer | 1.10 MB/s
[247] baixada  Birchlore Rangers | 1.10 MB/s
